participant,session,repetition,mean_timing,median_timing,std_timing,max_timing,total time
p091,1,1,0.3398695652173915,0.281,0.25463565332063964,1.192,3.383
p091,1,2,0.21669565217391304,0.199,0.10415839851244031,0.453,2.036
p091,1,3,0.27984782608695646,0.278,0.14886055628470327,0.663,2.747
p091,1,4,0.26315217391304346,0.255,0.12106214517828884,0.518,2.536
p091,1,5,0.33408695652173914,0.3205,0.16283540784580355,0.651,3.397
p091,1,6,0.327304347826087,0.246,0.2617911694941614,1.144,3.244
p091,1,7,0.26752173913043475,0.278,0.1271553274333639,0.55,2.576
p091,1,8,0.27843478260869575,0.2295,0.15827916998826444,0.683,2.717
p091,1,9,0.31123913043478263,0.2255,0.30298134777812524,1.348,3.112
p091,1,10,0.2024565217391304,0.1765,0.11210980857509285,0.483,1.871
p091,1,11,0.20782608695652172,0.192,0.1086659109069478,0.514,1.941
p091,1,12,0.18997826086956524,0.174,0.10171889131445322,0.427,1.7
p091,1,13,0.33399999999999996,0.236,0.27288882555192895,1.164,3.362
p091,1,14,0.2616739130434783,0.2105,0.18110525538086977,0.778,2.592
p091,1,15,0.22691304347826086,0.2235,0.11224849933903229,0.552,2.15
p091,1,16,0.21104347826086964,0.1855,0.1062876509021604,0.458,1.945
p091,1,17,0.2898695652173913,0.2555,0.1801065867998604,0.763,2.902
p091,1,18,0.3269130434782609,0.206,0.32446844229956967,1.379,3.283
p091,1,19,0.2695652173913043,0.20550000000000002,0.18739437346870763,0.768,2.638
p091,1,20,0.27678260869565224,0.207,0.26308341837553084,1.134,2.754
p091,1,21,0.2786739130434782,0.221,0.22599528553075085,1.033,2.721
p091,1,22,0.21939130434782605,0.18,0.15315286165728811,0.722,2.08
p091,1,23,0.24110869565217385,0.1855,0.18447477734980702,0.752,2.346
p091,1,24,0.18247826086956523,0.167,0.09524885280859112,0.404,1.68
p091,1,25,0.23265217391304344,0.113,1.6692565240235453,4.087,2.421
p091,1,26,0.3160652173913043,0.212,0.2533963432318727,0.913,3.164
p091,1,27,0.24713043478260865,0.1995,0.1822085018989268,0.787,2.385
p091,1,28,0.2047391304347826,0.18,0.13281489788969184,0.632,1.83
p091,1,29,0.2535,0.194,0.18763744591928103,0.919,2.407
p091,1,30,0.3095434782608696,0.2195,0.31093555649017546,1.369,3.086
p091,1,31,0.1860434782608696,0.1755,0.09753699162010031,0.404,1.696
p091,1,32,0.1739565217391304,0.17099999999999999,0.08817506740613978,0.358,1.555
p091,1,33,0.21958695652173907,0.1845,0.13912992745982386,0.657,2.13
p091,1,34,0.18569565217391307,0.17149999999999999,0.09382747040658482,0.407,1.695
p091,1,35,0.18391304347826076,0.1655,0.10103131001756205,0.46,1.686
p091,1,36,0.306586956521739,0.2245,0.23890784611895455,0.893,3.083
p091,1,37,0.16399999999999998,0.149,0.08405712343400766,0.343,1.468
p091,1,38,0.24034782608695646,0.219,0.12493095291067417,0.518,2.281
p091,1,39,0.18236956521739126,0.169,0.09697911772831469,0.423,1.635
p091,1,40,0.17808695652173914,0.1565,0.10003284484762581,0.425,1.613
p091,1,41,0.19956521739130434,0.195,0.09909202281469104,0.433,1.8
p091,1,42,0.2409782608695652,0.1785,0.19050430022914733,0.883,2.311
p091,1,43,0.19095652173913039,0.1605,0.11649472215450393,0.522,1.706
p091,1,44,0.23265217391304352,0.187,0.127059953896017,0.558,2.201
p091,1,45,0.1873043478260869,0.17049999999999998,0.11359555342729798,0.518,1.642
p091,1,46,0.18921739130434784,0.165,0.10762050879383296,0.516,1.711
p091,1,47,0.16899999999999998,0.1565,0.09398746961400994,0.388,1.459
p091,1,48,0.204695652173913,0.176,0.13312731910388428,0.643,1.862
p091,1,49,0.16693478260869563,0.15,0.10111542407322063,0.467,1.475
p091,1,50,0.3167391304347826,0.2875,0.1824841466213324,0.868,3.193
p091,1,51,0.27697826086956523,0.2555,0.14810724179615176,0.642,2.782
p091,1,52,0.18208695652173915,0.163,0.09858957034921347,0.438,1.63
p091,1,53,0.2036521739130435,0.1725,0.1366258829214215,0.658,1.915
p091,1,54,0.26767391304347826,0.21350000000000002,0.22496795370282568,1.004,2.621
p091,1,55,0.34536956521739126,0.3115,0.21410582624234653,0.928,3.572
p091,1,56,0.20158695652173914,0.1795,0.11428358025095225,0.502,1.891
p091,1,57,0.18739130434782614,0.159,0.10105542555358632,0.448,1.7
p091,1,58,0.27658695652173915,0.1955,0.2350123000172976,1.008,2.752
p091,1,59,0.19919565217391297,0.165,0.11128015088359797,0.5,1.814
p091,1,60,0.18034782608695654,0.1605,0.09288588396313793,0.373,1.6
p091,1,61,0.37617391304347814,0.238,0.3907984592456734,1.63,3.864
p091,1,62,0.291804347826087,0.163,0.26702289702613874,0.932,2.966
p091,1,63,0.1904565217391305,0.18,0.09263037815167192,0.397,1.766
p091,1,64,0.2435652173913044,0.1755,0.18591594901088598,0.727,2.401
p091,1,65,0.2818478260869566,0.20550000000000002,0.2253775072471671,0.834,2.797
p091,1,66,0.2992173913043477,0.2605,0.19648861013566024,0.809,3.061
p091,1,67,0.20954347826086953,0.185,0.10565388072417073,0.453,1.93
p091,1,68,0.3101086956521739,0.218,0.25496311090568635,0.974,3.097
p091,1,69,0.18367391304347822,0.1705,0.09561474882692897,0.406,1.661
p091,1,70,0.2636956521739131,0.2375,0.14578185675334948,0.633,2.573
p091,1,71,0.2457173913043478,0.186,0.18646294395562632,0.859,2.408
p091,1,72,0.238695652173913,0.198,0.17968885077207053,0.863,2.261
p091,1,73,0.21643478260869564,0.188,0.11232703289431524,0.476,2.0
p091,1,74,0.1831739130434783,0.16749999999999998,0.09400432716939178,0.377,1.65
p091,1,75,0.23702173913043476,0.188,0.17951669549474403,0.864,2.265
p091,1,76,0.2064130434782608,0.163,0.1447722465862933,0.673,1.945
p091,1,77,0.17834782608695654,0.1635,0.0967519663633204,0.397,1.583
p091,1,78,0.17093478260869566,0.17,0.09077332015616656,0.342,1.514
p091,1,79,0.1725869565217391,0.1525,0.09538613365030382,0.414,1.504
p091,1,80,0.158695652173913,0.1505,0.08869495026718573,0.332,1.371
p091,1,81,0.16934782608695645,0.155,0.09487728153106327,0.412,1.525
p091,1,82,0.2502608695652174,0.2,0.1492342580244762,0.629,2.37
p091,1,83,0.18645652173913044,0.162,0.1106463247412401,0.493,1.65
p091,1,84,0.22619565217391302,0.185,0.1794070009243684,0.879,2.135
p091,1,85,0.18463043478260863,0.1675,0.10305130517166942,0.457,1.639
p091,1,86,0.2074782608695652,0.179,0.11525907804795146,0.508,1.92
p091,1,87,0.25686956521739124,0.2025,0.18412056541488148,0.86,2.43
p091,1,88,0.23256521739130442,0.181,0.15271347931104517,0.613,2.226
p091,1,89,0.25756521739130445,0.23299999999999998,0.12001123135846042,0.578,2.507
p091,1,90,0.21969565217391304,0.1915,0.11240796127701146,0.473,2.061
p091,1,91,0.22969565217391302,0.227,0.1213596802100118,0.533,2.132
p091,1,92,0.28191304347826096,0.278,0.14341948203116253,0.618,2.737
p091,1,93,0.25163043478260866,0.237,0.13055630691530118,0.513,2.337
p091,1,94,0.2783260869565218,0.205,0.21599722779577277,0.874,2.742
p091,1,95,0.2193695652173913,0.1985,0.11639403548973007,0.543,2.01
p091,1,96,0.23667391304347823,0.2225,0.11673332464264694,0.503,2.226
p091,1,97,0.2593478260869565,0.23299999999999998,0.15591197194304574,0.713,2.513
p091,1,98,0.2503478260869566,0.223,0.12282674652467088,0.583,2.371
p091,1,99,0.22617391304347825,0.1985,0.12368675566353111,0.497,2.022
p091,1,100,0.2636739130434783,0.264,0.13058246510629487,0.597,2.553
p091,2,1,0.20223913043478267,0.195,0.10604573117975695,0.438,1.905
p091,2,2,0.18404347826086961,0.179,0.08879963876846925,0.358,1.695
p091,2,3,0.18273913043478265,0.18,0.08909207092356354,0.378,1.659
p091,2,4,0.17595652173913046,0.16749999999999998,0.0833437210916973,0.348,1.634
p091,2,5,0.18823913043478263,0.163,0.11157960482346398,0.541,1.765
p091,2,6,0.20052173913043486,0.1705,0.11168740884578705,0.521,1.905
p091,2,7,0.20821739130434783,0.1735,0.1408931688342433,0.698,1.941
p091,2,8,0.26382608695652177,0.171,0.21232357950886882,0.819,2.646
p091,2,9,0.1793043478260869,0.1545,0.111349673364829,0.537,1.665
p091,2,10,0.18308695652173923,0.183,0.08654859292442638,0.353,1.701
p091,2,11,0.19008695652173915,0.161,0.1225874429108475,0.562,1.793
p091,2,12,0.1687826086956522,0.1605,0.08945114446655678,0.397,1.521
p091,2,13,0.18478260869565213,0.1625,0.10384002932791023,0.457,1.797
p091,2,14,0.16665217391304352,0.159,0.09014290318804405,0.358,1.547
p091,2,15,0.18254347826086956,0.1595,0.12647313399765345,0.602,1.637
p091,2,16,0.1617173913043478,0.1385,0.09447060990205207,0.413,1.432
p091,2,17,0.17854347826086958,0.1745,0.09830105832407325,0.447,1.633
p091,2,18,0.23295652173913042,0.198,0.1378927049108576,0.633,2.243
p091,2,19,0.2040217391304348,0.174,0.11112965183472956,0.478,1.85
p091,2,20,0.17149999999999996,0.1555,0.1038023228170845,0.444,1.51
p091,2,21,0.16269565217391302,0.147,0.09528457251021334,0.412,1.48
p091,2,22,0.16404347826086957,0.1555,0.08708921518170998,0.377,1.476
p091,2,23,0.1778695652173913,0.16949999999999998,0.09789577421265769,0.407,1.547
p091,2,24,0.17052173913043478,0.1625,0.10420060548564428,0.398,1.495
p091,2,25,0.16363043478260872,0.156,0.10068881846685465,0.392,1.405
p091,2,26,0.17113043478260873,0.1485,0.10049314154500565,0.428,1.496
p091,2,27,0.15104347826086956,0.143,0.08970047851271824,0.382,1.289
p091,2,28,0.19995652173913045,0.166,0.13062430546703,0.618,1.866
p091,2,29,0.21869565217391304,0.1655,0.16286857272253702,0.758,2.101
p091,2,30,0.15406521739130435,0.1385,0.09805699072453575,0.422,1.334
p091,2,31,0.17478260869565215,0.15,0.12391106363364512,0.602,1.598
p091,2,32,0.2037826086956521,0.1405,0.18624331910982328,0.847,1.9
p091,2,33,0.16445652173913042,0.14,0.10310850951448924,0.476,1.459
p091,2,34,0.17015217391304346,0.1495,0.10034406750803941,0.443,1.495
p091,2,35,0.21291304347826087,0.158,0.1793418617658535,0.843,2.006
p091,2,36,0.22832608695652173,0.18,0.16038329843053778,0.73,2.18
p091,2,37,0.2247608695652174,0.1575,0.24164401593000936,1.096,2.13
p091,2,38,0.3437826086956522,0.2925,0.2451488357933222,1.017,3.423
p091,2,39,0.1897826086956522,0.172,0.11059232704818345,0.494,1.674
p091,2,40,0.24150000000000008,0.16999999999999998,0.21478648312529666,0.977,2.331
p091,2,41,0.21595652173913046,0.19,0.13124734181803271,0.542,1.986
p091,2,42,0.22636956521739127,0.21050000000000002,0.11441626898608279,0.477,2.105
p091,2,43,0.21586956521739128,0.169,0.17792265594236317,0.769,2.036
p091,2,44,0.25378260869565217,0.186,0.1800323320398593,0.748,2.505
p091,2,45,0.24132608695652172,0.16,0.2147031081230106,0.868,2.324
p091,2,46,0.1941739130434783,0.1515,0.13200729009293827,0.577,1.841
p091,2,47,0.2370869565217391,0.202,0.14284689956374919,0.594,2.321
p091,2,48,0.3041956521739131,0.1765,0.2938002057003453,1.103,3.073
p091,2,49,0.2165,0.19,0.13319271751863915,0.547,2.07
p091,2,50,0.17865217391304355,0.1725,0.09747984803510343,0.373,1.622
p091,2,51,0.199,0.17049999999999998,0.12867547465534285,0.609,1.87
p091,2,52,0.19763043478260875,0.188,0.10683161385941319,0.513,1.84
p091,2,53,0.18908695652173915,0.157,0.11849516184909202,0.582,1.769
p091,2,54,0.17552173913043478,0.161,0.1013374427084382,0.433,1.573
p091,2,55,0.19454347826086957,0.1595,0.1231704702203394,0.472,1.8
p091,2,56,0.18234782608695657,0.1555,0.10458812709147447,0.453,1.654
p091,2,57,0.21750000000000005,0.172,0.14783485530971524,0.688,2.005
p091,2,58,0.23584782608695654,0.194,0.18577213849125365,0.753,2.249
p091,2,59,0.20617391304347826,0.189,0.11778724781907535,0.513,1.821
p091,2,60,0.1715,0.1595,0.0977133563030152,0.412,1.499
p091,2,61,0.19967391304347823,0.16749999999999998,0.12116436116061084,0.509,1.795
p091,2,62,0.1773478260869565,0.1605,0.1038801055472241,0.394,1.555
p091,2,63,0.19730434782608694,0.1815,0.10971678076154226,0.433,1.801
p091,2,64,0.18139130434782608,0.175,0.09923361398703333,0.363,1.616
p091,2,65,0.17854347826086958,0.163,0.10103282338411701,0.408,1.58
p091,2,66,0.23234782608695645,0.1875,0.16210411159242408,0.738,2.27
p091,2,67,0.16606521739130436,0.1545,0.09540123506629206,0.398,1.484
p091,2,68,0.1681304347826086,0.1605,0.09965754890192763,0.363,1.42
p091,2,69,0.17143478260869563,0.1645,0.10121630351192618,0.373,1.48
p091,2,70,0.15589130434782614,0.1485,0.10005003820552762,0.403,1.309
p091,2,71,0.21580434782608696,0.1725,0.1922415863860676,0.848,2.021
p091,2,72,0.16808695652173916,0.1535,0.10358910841223856,0.458,1.47
p091,2,73,0.15947826086956518,0.1445,0.09539828536321576,0.367,1.373
p091,2,74,0.1722608695652174,0.144,0.09756694221179829,0.411,1.535
p091,2,75,0.20704347826086955,0.16,0.13330048870823794,0.573,1.891
p091,2,76,0.16430434782608697,0.1505,0.1038053455196509,0.398,1.409
p091,2,77,0.1768478260869565,0.1655,0.10344466419649027,0.453,1.581
p091,2,78,0.17532608695652177,0.165,0.10086163335047477,0.388,1.581
p091,2,79,0.2059130434782609,0.1785,0.11854316158859729,0.567,1.885
p091,2,80,0.18202173913043485,0.1585,0.11301395963536437,0.482,1.652
p091,2,81,0.1807173913043478,0.1735,0.10943261001760718,0.443,1.535
p091,2,82,0.1953913043478261,0.1605,0.15134309487766448,0.704,1.805
p091,2,83,0.19843478260869565,0.178,0.11329306189875941,0.467,1.819
p091,2,84,0.1687173913043478,0.155,0.10994092616663192,0.483,1.484
p091,2,85,0.19169565217391307,0.175,0.1021525807723628,0.411,1.686
p091,2,86,0.17717391304347826,0.1615,0.10489747467521186,0.464,1.556
p091,2,87,0.20719565217391298,0.163,0.1362316033762141,0.653,1.935
p091,2,88,0.17539130434782613,0.1735,0.1029958959831506,0.383,1.535
p091,2,89,0.23113043478260872,0.2015,0.14689809146262697,0.615,2.148
p091,2,90,0.16876086956521738,0.158,0.09912756871439476,0.407,1.446
p091,2,91,0.1758913043478261,0.171,0.10278699188361867,0.427,1.52
p091,2,92,0.18545652173913044,0.1625,0.10236399248037242,0.452,1.661
p091,2,93,0.23530434782608692,0.1955,0.15557247251007666,0.694,2.217
p091,2,94,0.32056521739130434,0.1645,0.31732357493216523,1.18,3.232
p091,2,95,0.1889782608695652,0.1635,0.10918760392206409,0.454,1.731
p091,2,96,0.17854347826086964,0.158,0.10852786770057196,0.432,1.574
p091,2,97,0.169,0.1555,0.09525591261905418,0.362,1.56
p091,2,98,0.18093478260869567,0.16,0.09706799499409635,0.408,1.652
p091,2,99,0.1627391304347826,0.145,0.09019717531487673,0.387,1.48
p091,2,100,0.15386956521739134,0.148,0.09286061447032734,0.368,1.305
